Model,n_predictors,AIC,BIC
log_total_area + log_population + birth_rate + hdi + health_insurance_coverage_pct + median_rent,6,33.25642527486484,46.77920470393512
log_total_area + log_population + median_age + birth_rate + health_insurance_coverage_pct + median_rent,6,33.348088805984325,46.8708682350546
log_total_area + median_age + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.403440241896526,44.994394038242476
log_total_area + log_population + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,33.40587367218947,48.860478733984074
hdi + health_insurance_coverage_pct + median_rent,3,33.461091342673626,41.18839387357093
log_population + median_age + birth_rate + hdi + health_insurance_coverage_pct + median_rent,6,33.5467420161,47.06952144517028
median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct,4,33.55205524537037,43.211183408992
median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.577885634382255,45.16883943072821
log_total_area + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,33.67048031932714,47.19325974839742
log_population + hdi + health_insurance_coverage_pct + median_rent,4,33.72465482168671,43.383782985308336
median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,33.977572842977175,45.568526639323125
log_total_area + median_age + hdi + health_insurance_coverage_pct + median_rent,5,34.01087692725301,45.601830723598965
hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,4,34.0701189442625,43.72924710788412
median_age + hdi + unemployment_rate_pct,3,34.08370786017774,41.81101039107504
log_total_area + log_population + birth_rate + hdi + median_rent,5,34.109527981312986,45.700481777658936
log_total_area + log_population + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,8,34.19821339593857,51.5846440904575
log_total_area + log_population + median_age + hdi + health_insurance_coverage_pct + median_rent,6,34.200348515155355,47.72312794422563
log_total_area + median_age + hdi + unemployment_rate_pct + median_rent,5,34.221376976982484,45.81233077332844
log_total_area + log_population + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,7,34.28426340218033,49.73886846397494
birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,5,34.323395905799345,45.914349702145294
log_total_area + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,6,34.34560676620906,47.86838619527934
log_total_area + median_age + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,34.36360537044479,47.88638479951506
log_total_area + log_population + median_age + hdi + unemployment_rate_pct + median_rent,6,34.376250687546886,47.89903011661717
log_total_area + log_population + hdi + health_insurance_coverage_pct + median_rent,5,34.4039324018594,45.99488619820535
median_age + birth_rate + hdi + health_insurance_coverage_pct + median_rent,5,34.40519156578027,45.99614536212623
log_total_area + hdi + median_rent,3,34.49470699610933,42.22200952700663
log_total_area + median_age + birth_rate + hdi + median_rent,5,34.739735658609305,46.33068945495526
log_total_area + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,34.755721304520904,48.27850073359119
log_population + median_age + hdi + unemployment_rate_pct,4,34.761208746942614,44.42033691056424
log_total_area + median_age + birth_rate + hdi + unemployment_rate_pct + median_rent,6,34.79201968838622,48.3147991174565
log_total_area + log_population + median_age + birth_rate + hdi + unemployment_rate_pct + median_rent,7,34.794086998460514,50.248692060255124
log_total_area + median_age + birth_rate + hdi + health_insurance_coverage_pct + median_rent,6,34.84863626978844,48.37141569885872
log_population + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,6,34.88217037691146,48.40494980598174
log_total_area + birth_rate + hdi + health_insurance_coverage_pct,4,35.11208033713421,44.77120850075583
log_total_area + median_age + birth_rate + hdi,4,35.147323433612875,44.8064515972345
log_total_area + log_population + birth_rate + hdi,4,35.172060779073426,44.83118894269505
log_total_area + log_population + median_age + birth_rate + hdi + health_insurance_coverage_pct + median_rent,7,35.18742328140151,50.64202834319612
median_age + birth_rate + hdi + unemployment_rate_pct,4,35.44540677737349,45.10453494099512
median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,6,35.48068470978576,49.003464138856046
median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,35.483417518646306,47.074371314992256
log_total_area + median_age + hdi + median_rent,4,35.63299769878118,45.292125862402806
log_total_area + median_age + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct + median_rent,7,35.67019984426288,51.12480490605749
log_population + median_age + birth_rate + hdi + unemployment_rate_pct,5,35.7698113480456,47.36076514439155
median_age + hdi + unemployment_rate_pct + median_rent,4,35.81691388154434,45.47604204516596
birth_rate + hdi + median_rent,3,35.88299344486698,43.61029597576429
hdi + unemployment_rate_pct + health_insurance_coverage_pct,3,36.01971574691291,43.747018277810206
log_total_area + log_population + median_age + birth_rate + hdi + median_rent,6,36.05943557007501,49.58221499914529
birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,4,36.06486432076284,45.72399248438447
log_population + birth_rate + hdi + unemployment_rate_pct + health_insurance_coverage_pct,5,36.20561796102473,47.796571757370685
log_population + median_age + hdi + unemployment_rate_pct + median_rent,5,36.30320851031293,47.894162306658885
log_population + hdi + unemployment_rate_pct + health_insurance_coverage_pct,4,36.370018765902486,46.02914692952412
log_total_area + log_population + hdi + median_rent,4,36.39508346824553,46.05421163186716
median_age + birth_rate + hdi + median_rent,4,36.508062034834936,46.16719019845656
median_age + hdi + median_rent,3,36.61079308424639,44.33809561514369
birth_rate + hdi + unemployment_rate_pct,3,36.795406431127155,44.52270896202446
log_population + birth_rate + hdi + median_rent,4,36.870608325885534,46.52973648950716
log_total_area + median_age + birth_rate + hdi + health_insurance_coverage_pct,5,37.09352127489246,48.68447507123841
log_total_area + log_population + birth_rate + hdi + health_insurance_coverage_pct,5,37.11205937914726,48.70301317549321
median_age + birth_rate + hdi + unemployment_rate_pct + median_rent,5,37.1230107148214,48.71396451116735
log_total_area + log_population + median_age + birth_rate + hdi,5,37.14731108057546,48.73826487692142
log_population + median_age + birth_rate + hdi + unemployment_rate_pct + median_rent,6,37.32784307427008,50.85062250334036
median_age + birth_rate + hdi,3,37.335612730557386,45.06291526145469
birth_rate + hdi,2,37.339831443639376,43.135308341812355
log_population + median_age + birth_rate + hdi + median_rent,5,37.41714492607015,49.0080987224161
log_total_area + birth_rate + median_rent,3,37.48174819884507,45.20905072974237
log_total_area + log_population + median_age + hdi + median_rent,5,37.48310446447298,49.07405826081893
birth_rate + hdi + unemployment_rate_pct + median_rent,4,37.51424164139755,47.17336980501918
log_total_area + hdi,2,37.65072937932011,43.44620627749309
log_population + birth_rate + hdi + unemployment_rate_pct,4,37.68090202384928,47.3400301874709
log_population + median_age + hdi + median_rent,4,38.03437943503066,47.69350759865229
