Variable,Estimate,Std_Error,z_value,p_value,CI_low,CI_high,Odds_Ratio,OR_CI_low,OR_CI_high
const,-143.0778,52.4969,-2.7255,0.0064,-245.9699,-40.1858,0.0,0.0,0.0
log_population,-1.6722,0.9192,-1.8193,0.0689,-3.4737,0.1293,0.1878,0.031,1.138
median_age,0.3783,0.2961,1.2779,0.2013,-0.2019,0.9586,1.4599,0.8171,2.6081
unemployment_rate_pct,1.8185,1.274,1.4274,0.1535,-0.6784,4.3154,6.1625,0.5074,74.8433
health_insurance_coverage_pct,1.404,0.554,2.5344,0.0113,0.3182,2.4897,4.0713,1.3747,12.058
median_rent,0.0116,0.0043,2.676,0.0075,0.0031,0.0202,1.0117,1.0031,1.0204
